id,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
17,8,0,68,0,0,0,14,0,0,0,36,107,26,28,16,0,0
16,2,0,5,0,0,0,4,0,0,0,4,10,2,2,1,0,0
15,2,0,16,0,0,0,5,0,0,0,12,16,6,7,4,0,0
12,5,0,22,0,0,0,3,0,0,0,10,18,10,3,2,0,0
11,11,0,117,0,0,0,21,0,0,0,18,100,39,51,39,0,0
13,5,0,63,0,0,0,27,0,0,0,21,52,22,26,19,0,0
14,2,0,16,0,0,0,3,0,0,0,11,22,6,5,4,0,0
18,6,0,14,0,0,0,9,0,0,0,19,21,4,9,6,0,0
20,1,0,5,0,0,0,0,0,0,0,2,4,2,1,1,0,0
1,2,0,26,0,0,0,2,0,0,0,8,24,8,11,10,0,0
2,12,0,376,0,0,0,36,0,0,0,47,316,121,170,134,0,0
3,12,0,156,0,0,0,18,0,0,0,52,149,55,60,46,0,0
4,2,0,10,0,0,0,7,0,0,0,10,18,3,7,4,0,0
5,3,0,43,0,0,0,14,0,0,0,8,40,14,26,15,0,0
6,3,0,59,0,0,0,11,0,0,0,11,60,18,31,23,0,0
7,8,0,28,0,0,0,8,0,0,0,10,27,11,8,6,0,0
8,5,0,3,0,0,0,1,0,0,0,8,7,1,3,1,0,0
9,2,0,15,0,0,0,5,0,0,0,10,13,4,8,7,0,0
10,2,0,41,0,0,0,6,0,0,0,7,25,10,26,21,0,0
19,8,0,80,0,0,0,19,0,0,0,37,89,26,41,28,0,0
21,3,0,10,0,0,0,1,0,0,0,2,7,4,3,2,0,0
22,2,0,4,0,0,0,0,0,0,0,2,1,1,2,2,0,0
25,11,0,44,0,0,0,1,0,0,0,33,43,18,14,8,0,0
24,3,0,10,0,0,0,3,0,0,0,10,10,4,3,2,0,0
23,2,0,24,0,0,0,12,0,0,0,8,27,7,13,10,0,0
