id,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
1,6,0,34,0,0,0,13,0,0,0,10,31,12,15,10,0,0
2,2,0,22,0,0,0,4,0,0,0,10,25,8,6,6,0,0
3,5,0,66,0,0,0,22,0,0,0,11,70,22,28,22,0,0
4,8,0,57,0,0,0,17,0,0,0,38,61,18,29,21,0,0
8,3,0,43,0,0,0,11,0,0,0,16,43,15,20,13,0,0
11,3,0,36,0,0,0,8,0,0,0,7,31,16,4,4,0,0
12,4,0,32,0,0,0,2,0,0,0,6,30,11,14,10,0,0
15,8,0,19,0,0,0,4,0,0,0,11,26,7,13,5,0,0
19,6,0,17,0,0,0,10,0,0,0,5,36,6,11,5,0,0
20,2,0,26,0,0,0,4,0,0,0,3,27,9,9,8,0,0
26,3,0,49,0,0,0,7,0,0,0,17,45,17,25,15,0,0
34,5,0,65,0,0,0,6,0,0,0,23,52,20,32,25,0,0
35,2,0,36,0,0,0,2,0,0,0,11,44,15,9,6,0,0
38,11,0,43,0,0,0,7,0,0,0,25,45,18,14,7,0,0
41,2,0,19,0,0,0,3,0,0,0,7,16,7,9,5,0,0
42,6,0,43,0,0,0,17,0,0,0,11,40,14,17,15,0,0
45,4,0,30,0,0,0,11,0,0,0,15,32,9,20,12,0,0
46,12,0,42,0,0,0,12,0,0,0,34,37,16,14,10,0,0
50,2,0,18,0,0,0,5,0,0,0,12,24,7,5,4,0,0
51,6,0,48,0,0,0,15,0,0,0,29,61,21,15,6,0,0
55,2,0,20,0,0,0,5,0,0,0,11,12,6,12,8,0,0
57,3,0,52,0,0,0,8,0,0,0,15,44,17,30,18,0,0
59,4,0,37,0,0,0,5,0,0,0,17,30,12,22,13,0,0
63,8,0,68,0,0,0,14,0,0,0,36,107,26,28,16,0,0
65,2,0,16,0,0,0,5,0,0,0,12,16,6,7,4,0,0
66,5,0,22,0,0,0,3,0,0,0,10,18,10,3,2,0,0
68,5,0,63,0,0,0,27,0,0,0,21,52,22,26,19,0,0
69,2,0,16,0,0,0,3,0,0,0,11,22,6,5,4,0,0
100,5,0,63,0,0,0,27,0,0,0,21,52,22,26,19,0,0
