id,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
13,2,0,1,0,0,0,0,0,0,0,2,3,0,2,1,0,0
12,2,0,20,0,0,0,5,0,0,0,11,12,6,12,8,0,0
8,5,0,73,0,0,0,22,0,0,0,26,73,22,34,29,0,0
11,3,0,52,0,0,0,8,0,0,0,15,44,17,30,18,0,0
7,2,0,6,0,0,0,3,0,0,0,7,13,2,3,2,0,0
14,4,0,37,0,0,0,5,0,0,0,17,30,12,22,13,0,0
9,3,0,5,0,0,0,1,0,0,0,8,7,2,6,1,0,0
1,2,0,1,0,0,0,3,0,0,0,1,3,0,1,1,0,0
6,2,0,9,0,0,0,3,0,0,0,8,10,2,5,5,0,0
3,8,0,68,0,0,0,14,0,0,0,36,107,26,28,16,0,0
15,2,0,5,0,0,0,4,0,0,0,4,10,2,2,1,0,0
2,2,0,16,0,0,0,5,0,0,0,12,16,6,7,4,0,0
5,5,0,22,0,0,0,3,0,0,0,10,18,10,3,2,0,0
4,11,0,117,0,0,0,21,0,0,0,18,100,39,51,39,0,0
10,5,0,63,0,0,0,27,0,0,0,21,52,22,26,19,0,0
16,5,0,63,0,0,0,27,0,0,0,21,52,22,26,19,0,0
