id,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
107,2,0,23,0,0,0,1,0,0,0,11,22,9,10,5,0,0
108,8,0,51,0,0,0,10,0,0,0,26,48,14,30,23,0,0
109,3,0,31,0,0,0,8,0,0,0,14,31,6,24,19,0,0
110,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
111,3,0,19,0,0,0,9,0,0,0,17,31,7,10,5,0,0
112,4,0,32,0,0,0,3,0,0,0,16,26,9,16,14,0,0
113,4,0,30,0,0,0,8,0,0,0,22,25,11,10,8,0,0
114,6,0,33,0,0,0,8,0,0,0,17,41,12,19,9,0,0
115,2,0,27,0,0,0,4,0,0,0,7,17,8,13,11,0,0
116,3,0,10,0,0,0,0,0,0,0,4,9,3,8,4,0,0
117,2,0,45,0,0,0,6,0,0,0,7,32,15,18,15,0,0
118,2,0,41,0,0,20,3,0,0,0,10,27,14,16,13,0,0
119,3,0,15,0,0,7,5,0,0,0,8,19,7,1,1,0,0
120,3,0,8,0,0,15,10,0,0,0,10,19,4,3,0,0,0
121,3,0,34,0,0,9,12,0,0,0,7,35,13,10,8,0,0
122,3,0,66,0,0,12,13,0,0,0,6,61,27,17,12,0,0
123,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
124,14,0,217,0,0,52,37,0,0,0,42,193,83,56,51,0,0
125,14,0,61,0,0,41,20,0,0,0,19,48,20,28,21,0,0
126,7,0,78,0,0,33,38,0,0,0,31,56,17,50,44,0,0
127,7,0,13,0,0,16,9,0,0,0,16,23,4,8,5,0,0
128,2,0,7,0,0,8,5,0,0,0,5,8,2,5,3,0,0
129,14,0,140,0,0,179,66,0,0,0,49,139,55,41,30,0,0
130,2,0,10,0,0,13,3,0,0,0,8,12,4,5,2,0,0
131,2,0,28,0,0,15,12,0,0,0,8,42,9,12,10,0,0
132,14,0,222,0,0,43,75,0,0,0,45,234,79,80,64,0,0
133,2,0,13,0,0,8,2,0,0,0,9,9,4,12,5,0,0
134,7,0,41,0,0,33,16,0,0,0,21,36,12,18,17,0,0
135,3,0,36,0,0,37,5,0,0,0,5,45,14,10,8,0,0
136,2,0,52,0,0,16,1,0,0,0,9,49,16,27,20,0,0
137,7,0,63,0,0,20,18,0,0,0,24,72,27,14,9,0,0
138,14,0,165,0,0,163,26,0,0,0,57,140,49,87,67,0,0
139,6,0,11,0,0,5,0,0,0,0,12,11,4,3,3,0,0
140,3,0,97,0,0,42,2,0,0,0,14,73,36,33,25,0,0
141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,7,0,42,0,0,47,17,0,0,0,37,39,17,10,8,0,0
143,7,0,54,0,0,27,19,0,0,0,30,52,24,8,6,0,0
144,2,0,7,0,0,4,2,0,0,0,4,10,1,7,5,0,0
145,2,0,2,0,0,3,0,0,0,0,6,6,1,0,0,0,0
146,2,0,10,0,0,2,3,0,0,0,8,13,3,5,4,0,0
147,3,0,35,0,0,12,11,0,0,0,10,36,17,4,1,0,0
148,14,0,85,0,0,19,20,0,0,0,14,76,31,34,23,0,0
149,7,0,2,0,0,3,1,0,0,0,5,3,0,4,2,0,0
150,7,0,20,0,0,7,6,0,0,0,11,20,6,11,8,0,0
151,14,0,157,0,0,126,40,0,0,0,68,107,48,78,61,0,0
152,7,0,50,0,0,21,7,0,0,0,19,43,18,22,14,0,0
153,8,0,13,0,0,6,2,0,0,0,7,18,6,3,1,0,0
154,3,0,23,0,0,20,10,0,0,0,15,26,9,10,5,0,0
155,2,0,2,0,0,3,3,0,0,0,3,6,1,0,0,0,0
156,1,0,4,0,0,5,2,0,0,0,3,4,2,3,0,0,0
157,2,0,4,0,0,1,1,0,0,0,2,5,1,2,2,0,0
158,3,0,3,0,0,6,4,0,0,0,6,7,0,5,3,0,0
159,2,0,3,0,0,0,2,0,0,0,3,7,1,1,1,0,0
160,2,0,4,0,0,2,0,0,0,0,1,3,2,0,0,0,0
161,1,0,5,0,0,1,0,0,0,0,3,6,2,1,1,0,0
162,13,0,68,0,0,20,23,0,0,0,40,67,24,23,20,0,0
163,2,0,44,0,0,18,8,0,0,0,4,36,17,16,10,0,0
164,2,0,13,0,0,7,4,0,0,0,5,13,6,3,1,0,0
165,3,0,4,0,0,11,9,0,0,0,11,15,2,0,0,0,0
166,14,0,74,0,0,83,78,0,0,0,50,80,25,53,24,0,0
167,2,0,26,0,0,10,8,0,0,0,9,25,11,5,4,0,0
168,13,0,33,0,0,35,9,0,0,0,26,41,12,12,9,0,0
169,3,0,26,0,0,14,3,0,0,0,9,29,12,4,2,0,0
170,2,0,22,0,0,21,3,0,0,0,6,26,6,11,10,0,0
171,7,0,168,0,0,74,9,0,0,0,25,152,62,55,44,0,0
172,7,0,109,0,0,67,17,0,0,0,35,96,39,47,31,0,0
173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,3,0,26,0,0,14,10,0,0,0,7,48,11,5,4,0,0
175,9,0,19,0,0,9,1,0,0,0,11,18,7,7,5,0,0
176,3,0,17,0,0,5,5,0,0,0,13,16,6,10,5,0,0
177,5,0,5,0,0,5,1,0,0,0,8,7,1,4,3,0,0
178,3,0,29,0,0,19,8,0,0,0,15,26,8,16,13,0,0
179,2,0,15,0,0,15,14,0,0,0,9,15,6,6,3,0,0
180,7,0,95,0,0,62,27,0,0,0,27,108,35,30,25,0,0
181,7,0,97,0,0,63,14,0,0,0,33,59,28,55,41,0,0
182,14,0,273,0,0,196,33,0,0,0,59,239,93,135,87,0,0
183,3,0,3,0,0,2,0,0,0,0,5,5,1,1,1,0,0
184,9,0,9,0,0,3,6,0,0,0,2,12,4,2,1,0,0
185,3,0,43,0,0,16,10,0,0,0,10,44,17,11,9,0,0
186,7,0,143,0,0,102,20,0,0,0,28,105,47,64,49,0,0
187,7,0,88,0,0,41,16,0,0,0,23,93,33,27,22,0,0
188,2,0,15,0,0,7,15,0,0,0,6,22,4,9,7,0,0
189,7,0,34,0,0,26,25,0,0,0,22,48,10,21,14,0,0
190,14,0,152,0,0,94,24,0,0,0,61,151,55,68,42,0,0
191,14,0,101,0,0,66,34,0,0,0,55,91,37,37,27,0,0
192,3,0,17,0,0,5,9,0,0,0,6,7,3,15,11,0,0
193,14,0,175,0,0,71,59,0,0,0,45,121,57,67,61,0,0
194,14,0,250,0,0,58,38,0,0,0,43,217,88,100,74,0,0
195,3,120,77,0,0,38,8,0,0,0,17,53,24,33,29,0,0
196,2,85,31,0,0,9,8,0,0,0,7,34,14,7,3,0,0
197,3,29,4,0,0,2,1,0,0,0,4,3,1,5,2,0,0
198,3,48,9,0,0,10,3,0,0,0,16,12,4,6,1,0,0
199,2,81,17,0,0,6,9,0,0,0,10,24,6,6,5,0,0
200,3,58,16,0,0,12,5,0,0,0,11,14,6,7,4,0,0
201,6,53,24,0,0,8,4,0,0,0,18,24,10,4,4,0,0
202,7,88,36,0,0,10,15,0,0,0,23,30,7,23,22,0,0
203,1,21,5,0,0,8,4,0,0,0,0,6,1,3,3,0,0
204,6,247,59,0,0,73,35,0,0,0,25,59,24,18,11,0,0
205,3,128,33,0,0,16,4,0,0,0,17,25,8,19,17,0,0
206,3,138,93,0,0,12,19,0,0,0,13,65,26,44,41,0,0
207,6,233,119,0,0,13,28,0,0,0,18,92,37,55,45,0,0
208,3,31,8,0,0,3,5,0,0,0,7,8,1,7,6,0,0
209,3,112,27,0,0,13,17,0,0,0,16,19,9,18,9,0,0
210,2,37,16,0,0,7,4,0,0,0,9,16,6,7,4,0,0
211,1,4,2,0,0,1,1,0,0,0,2,4,1,0,0,0,0
212,2,77,30,0,0,30,5,0,0,0,8,23,12,7,6,0,0
213,3,70,17,0,0,12,2,0,0,0,13,33,5,9,7,0,0
214,7,80,34,0,0,6,10,0,0,0,16,33,11,16,12,0,0
215,14,471,151,0,0,134,19,0,0,0,45,122,50,66,51,0,0
216,3,77,24,0,0,14,3,0,0,0,14,19,7,11,10,0,0
217,2,96,46,0,0,23,3,0,0,0,7,48,19,15,8,0,0
218,6,146,40,0,0,26,8,0,0,0,30,42,16,13,8,0,0
219,12,235,74,0,0,20,24,0,0,0,39,68,30,17,14,0,0
220,3,87,23,0,0,25,4,0,0,0,16,21,9,5,5,0,0
